Ghost_Name,Algorithm,Search_Time(s),Expanded_Nodes,Memory_Usage(MB),Ghost_Pos_X,Ghost_Pos_Y,Pacman_Pos_X,Pacman_Pos_Y
BlueGhost,BFS,0.006613,234,0.025800,6,5,15,16
OrangeGhost,UCS,0.005508,262,0.026880,10,29,15,16
PinkGhost,DFS,0.004154,154,0.031144,28,5,15,16
RedGhost,A*,0.000944,23,0.010184,24,23,15,16
BlueGhost,BFS,0.006613,234,0.025800,7,5,15,16
OrangeGhost,UCS,0.005508,262,0.026880,10,28,15,16
PinkGhost,DFS,0.004154,154,0.031144,28,5,15,16
RedGhost,A*,0.000944,23,0.010184,24,23,15,16
BlueGhost,BFS,0.006613,234,0.025800,7,5,15,16
OrangeGhost,UCS,0.005508,262,0.026880,10,28,15,16
PinkGhost,DFS,0.004154,154,0.031144,28,5,15,16
RedGhost,A*,0.000944,23,0.010184,24,23,15,16
BlueGhost,BFS,0.006613,234,0.025800,7,5,15,16
OrangeGhost,UCS,0.005508,262,0.026880,10,28,15,16
PinkGhost,DFS,0.004154,154,0.031144,28,6,15,16
RedGhost,A*,0.000944,23,0.010184,23,23,15,16
BlueGhost,BFS,0.006613,234,0.025800,8,5,15,16
OrangeGhost,UCS,0.005508,262,0.026880,10,27,15,16
PinkGhost,DFS,0.004154,154,0.031144,28,6,15,16
RedGhost,A*,0.000944,23,0.010184,23,23,15,16
BlueGhost,BFS,0.006613,234,0.025800,8,5,15,16
OrangeGhost,UCS,0.005508,262,0.026880,10,27,15,16
PinkGhost,DFS,0.004154,154,0.031144,28,6,15,16
RedGhost,A*,0.000944,23,0.010184,23,23,15,16
BlueGhost,BFS,0.006613,234,0.025800,8,5,15,16
OrangeGhost,UCS,0.005508,262,0.026880,11,27,15,16
PinkGhost,DFS,0.004154,154,0.031144,28,7,15,16
RedGhost,A*,0.000944,23,0.010184,22,23,15,16
BlueGhost,BFS,0.006613,234,0.025800,8,6,15,16
OrangeGhost,UCS,0.005508,262,0.026880,11,27,15,16
OrangeGhost,UCS,0.005508,262,0.026880,11,27,15,16
PinkGhost,DFS,0.004154,154,0.031144,28,7,15,16
BlueGhost,BFS,0.006613,234,0.025800,9,6,15,16
RedGhost,A*,0.000944,23,0.010184,22,22,15,16
